EXECTIME 2 1 1 3 84826
PARTITION 1 1 3 11989 5208



EXECTIME 2 1 2 3 68627
PARTITION 1 1 3 11954 3340

EXECTIME 2 2 1 3 223413
PARTITION 1 1 3 11954 3340


EXECTIME 2 2 2 3 219813
PARTITION 1 1 3 11989 5208

EXECTIME 2 3 1 3 219255
PARTITION 1 1 3 11954 4300
EXECTIME 2 3 2 3 215974

EXECTIME 4 1 1 3 530216
PARTITION 1 1 3 11954 3340

EXECTIME 4 1 2 3 451318
PARTITION 1 1 3 11954 3340

EXECTIME 4 2 1 3 1893067
PARTITION 1 1 3 11954 3340


EXECTIME 4 2 2 3 1873060
PARTITION 1 1 3 11954 3340
EXECTIME 4 3 1 3 1587017
PARTITION 1 1 3 11954 3340

EXECTIME 4 3 2 3 1548325
PARTITION 1 1 3 11954 3340
