EXECTIME 2 1 1 0 71779
PARTITION 2 1 0 11774 3263

EXECTIME 2 1 2 0 68273
PARTITION 2 1 0 11743 4500

EXECTIME 2 2 1 0 222976
PARTITION 2 2 0 11743 3263

EXECTIME 2 2 2 0 218913
PARTITION 2 2 0 11774 4500

EXECTIME 2 3 1 0 218519
PARTITION 2 3 0 11774 3263

EXECTIME 2 3 2 0 214763
PARTITION 2 3 0 11823 4500

EXECTIME 4 1 1 0 529473
PARTITION 4 1 0 11774 4200

EXECTIME 4 1 2 0 451546
PARTITION 4 1 0 11743 3878

EXECTIME 4 2 1 0 1890010
PARTITION 4 2 0 11823 4201

EXECTIME 4 2 2 0 1867880
PARTITION 4 2 0 11823 3263

EXECTIME 4 3 1 0 1563653
PARTITION 4 3 0 11823 3726

EXECTIME 4 3 2 0 1554783
PARTITION 4 3 0 11823 3263
